subscription_id,district_id,start_date,end_date
12766,44683,2023-08-31,2024-08-31
17735,48612,2025-03-10,2026-03-10
17749,48624,2025-03-11,2025-08-31
17750,48624,2025-09-01,2026-08-31
14691,46230,2024-03-19,2025-03-19
13518,36096,2023-10-12,2024-08-31
13522,38743,2024-09-01,2025-08-31
330,32836,2020-07-02,2021-07-31
331,2828,2020-07-02,2021-07-31
332,32853,2020-10-09,2021-07-31
13545,38281,2023-10-16,2024-08-31
16199,47098,2024-09-20,2025-09-20
14707,46246,2024-03-21,2025-03-21
16213,47216,2024-09-15,2025-09-23
16226,47325,2024-09-24,2025-09-24
16227,43301,2024-09-24,2025-09-24
14726,46200,2024-03-26,2025-03-26
14736,43209,2024-09-02,2025-08-31
13559,45293,2023-10-18,2024-08-31
18444,49254,2025-06-17,2025-07-01
18138,48904,2025-05-06,2026-05-06
18575,43753,2025-09-01,2026-09-01
17419,42499,2025-02-03,2026-02-03
340,33211,2020-07-06,2021-07-31
18915,49550,2025-09-02,2025-09-16
18666,40698,2025-08-16,2026-08-16
15569,43213,2024-09-01,2025-08-31
348,33345,2020-07-06,2021-06-30
15625,39823,2024-09-01,2025-09-01
352,33383,2020-07-06,2021-07-06
18412,49224,2025-06-11,2026-06-11
356,233,2020-07-06,2021-06-30
17047,25360,2024-12-11,2025-08-31
17674,44869,2025-03-03,2026-03-03
359,627,2020-07-06,2021-08-02
15763,35902,2024-09-01,2025-08-24
18922,49557,2025-09-02,2025-09-16
18732,43999,2025-08-07,2026-08-07
14742,46272,2024-09-05,2025-08-31
18773,46840,2025-08-14,2026-08-31
12509,36627,2023-09-01,2024-08-25
18825,41122,2025-08-21,2026-08-31
18832,336,2025-09-01,2026-08-31
17700,45997,2025-03-05,2026-03-05
13688,43727,2023-10-27,2024-11-02
13692,38803,2023-11-02,2024-08-31
18841,49501,2025-08-24,2025-09-07
12779,43597,2023-09-01,2024-08-31
16004,38531,2024-09-10,2025-09-10
372,1,2020-07-07,2021-07-31
12532,43255,2023-08-07,2024-08-07
12889,37371,2023-09-12,2024-08-31
16031,40021,2024-09-11,2025-08-31
18847,49398,2025-08-25,2026-08-25
18857,36618,2025-08-26,2026-08-31
12922,37911,2023-09-18,2024-08-31
385,33305,2020-07-07,2021-07-07
387,223,2020-07-07,2021-07-31
390,33639,2020-07-07,2021-08-25
16042,23297,2024-09-11,2025-08-31
17713,44007,2025-03-07,2026-03-07
18858,39823,2025-09-02,2026-09-01
18866,33639,2025-08-27,2026-08-31
395,32619,2020-07-07,2021-07-14
16076,37966,2024-09-13,2025-08-31
18871,49517,2025-08-27,2025-09-10
17732,37081,2025-08-28,2026-08-31
17751,48506,2025-03-11,2026-03-11
18886,40041,2025-08-28,2026-08-31
14681,46210,2024-03-18,2025-03-18
18896,49535,2025-08-29,2025-09-12
18905,49540,2025-08-31,2025-09-14
17794,48664,2025-03-18,2026-03-18
13597,42259,2023-11-15,2024-11-15
418,33681,2020-07-07,2021-07-31
15139,38011,2024-09-01,2025-08-31
16158,33897,2024-09-18,2025-08-31
13724,43773,2023-11-07,2024-11-07
14696,46235,2024-03-20,2025-03-20
16195,47300,2024-09-20,2025-09-20
14710,42888,2024-04-08,2025-04-08
16212,47315,2024-09-23,2025-09-23
14727,46262,2024-03-25,2025-03-25
14715,46251,2024-03-22,2025-04-12
14737,42422,2024-03-27,2025-04-17
15973,39435,2024-09-06,2025-08-31
17039,42316,2024-12-11,2025-12-11
15986,47148,2024-09-09,2025-09-09
18918,49553,2025-09-02,2025-09-16
17050,48013,2024-12-12,2099-12-12
17056,47646,2024-12-12,2025-12-12
18924,49559,2025-09-02,2025-09-16
18445,49255,2025-06-17,2025-07-01
15140,429,2024-08-22,2025-08-31
18576,49349,2025-07-10,2026-08-31
18577,49350,2025-07-10,2026-08-31
13839,45510,2023-11-22,2025-08-31
16006,37816,2024-09-10,2025-08-31
18733,49433,2025-08-08,2025-08-22
18774,49455,2025-08-14,2026-08-31
16032,43378,2024-09-11,2025-09-11
16043,39797,2024-09-11,2025-09-11
13749,43717,2023-11-08,2024-11-21
18833,47243,2025-09-01,2026-08-31
18842,49502,2025-08-24,2025-09-07
18848,49505,2025-08-25,2025-09-08
458,33837,2020-07-08,2021-07-31
18859,42703,2025-08-26,2026-08-31
12510,37481,2023-09-01,2024-08-31
18867,36481,2025-08-27,2026-07-31
18872,49518,2025-08-28,2025-09-11
12480,36618,2023-08-07,2024-08-06
12501,35945,2023-08-07,2024-08-31
12533,37395,2023-08-16,2024-08-30
467,33897,2020-10-23,2021-08-24
12676,32424,2023-09-01,2024-08-31
469,33910,2020-07-08,2021-07-31
18887,49526,2025-08-28,2025-09-11
12769,44685,2023-08-31,2024-08-31
16124,38632,2024-09-17,2025-09-17
482,167,2020-07-09,2021-07-31
16107,40174,2024-09-16,2025-09-16
18897,44683,2025-09-06,2026-09-30
492,681,2020-07-10,2021-08-20
18906,49541,2025-08-31,2025-09-14
13342,1035,2024-09-01,2025-08-31
18413,49225,2025-06-11,2025-06-25
16196,44926,2024-09-29,2025-09-29
13547,41831,2023-10-16,2024-10-16
16230,35899,2024-09-24,2025-08-31
520,5361,2020-07-13,2021-07-31
13707,43604,2023-10-07,2024-11-03
16238,38575,2024-09-24,2025-08-31
13725,42250,2023-11-15,2024-11-15
13750,41787,2023-10-13,2024-11-09
16241,36753,2024-09-25,2025-09-25
16242,47337,2024-09-25,2025-09-25
14682,46211,2024-03-18,2025-03-18
16257,38731,2024-09-26,2025-09-26
14711,37431,2024-03-22,2025-03-22
16273,47360,2024-09-27,2025-08-31
16287,47086,2024-09-30,2025-09-30
14738,46270,2024-03-27,2024-08-31
14741,46272,2024-03-27,2024-09-04
14747,37074,2024-03-28,2025-08-31
15141,36782,2024-09-01,2025-08-31
18446,49256,2025-06-17,2025-07-01
15974,39733,2024-09-06,2025-08-31
14729,40398,2024-03-25,2025-08-10
18919,49554,2025-09-02,2025-09-16
18668,49399,2025-07-25,2025-08-08
18578,41086,2025-08-12,2026-08-31
18734,49434,2025-08-08,2025-08-22
15439,37744,2024-08-22,2025-08-31
12502,35945,2024-09-01,2025-08-12
16007,42038,2024-09-10,2025-08-31
18775,49456,2025-08-14,2026-08-31
18834,49494,2025-08-22,2025-09-05
18843,49503,2025-08-24,2025-09-07
18849,43205,2025-08-25,2026-08-31
18860,47652,2025-09-01,2026-09-01
18873,49519,2025-08-28,2025-09-11
17702,48583,2025-03-05,2026-08-31
12534,37037,2023-09-01,2024-08-31
18888,49527,2025-08-28,2025-09-11
12770,32410,2024-09-01,2025-08-31
17715,48594,2025-03-07,2026-03-07
554,34664,2020-07-16,2021-07-31
18898,47486,2025-08-29,2026-08-31
556,914,2020-07-17,2021-07-31
560,174,2020-07-17,2021-07-31
18907,49542,2025-08-31,2025-09-14
564,58,2020-07-20,2021-07-31
566,34856,2020-07-20,2021-07-20
12924,43449,2023-09-13,2024-09-15
13548,38531,2023-10-16,2024-08-31
16160,43558,2024-09-18,2025-08-31
13578,44893,2023-09-28,2023-10-12
586,34901,2020-07-20,2022-06-30
588,31,2020-07-20,2021-07-31
589,34916,2020-07-20,2021-07-31
590,13446,2020-07-21,2021-07-31
17834,48550,2025-03-24,2026-03-24
16216,43520,2024-09-24,2025-09-24
13726,45319,2023-11-07,2024-11-07
18414,49226,2025-06-12,2026-06-12
621,909,2020-07-23,2021-07-31
16253,47346,2024-09-26,2025-09-26
13837,43683,2023-11-21,2024-11-21
16265,47174,2024-09-11,2025-09-27
14673,36850,2024-09-01,2025-08-31
14739,46270,2024-09-01,2025-08-31
14743,37219,2024-09-01,2025-08-31
18920,49555,2025-09-02,2025-09-16
15975,47138,2024-09-06,2025-09-06
18447,49257,2025-06-17,2025-07-01
18579,49351,2025-07-10,2025-07-24
18669,49400,2025-07-27,2025-08-10
15632,43243,2024-08-05,2025-08-04
642,35294,2020-07-27,2021-07-31
18735,44733,2025-09-18,2026-09-18
12535,174,2023-08-16,2024-08-31
15144,44407,2024-06-01,2025-06-01
12471,41598,2023-08-17,2024-08-31
12503,35945,2025-08-13,2026-08-31
18776,49457,2025-08-14,2025-08-28
15766,42411,2024-08-20,2025-08-17
18835,49495,2025-08-23,2025-09-06
18850,37170,2025-08-25,2026-08-25
16008,35760,2024-09-10,2025-08-31
659,35369,2020-07-28,2021-07-31
17052,48015,2024-12-12,2025-12-12
15571,41351,2024-07-25,2025-07-25
667,35415,2020-07-29,2021-07-31
18861,49512,2025-08-26,2025-09-09
14769,46296,2024-04-02,2024-08-14
18874,49520,2025-08-28,2025-09-11
18889,49528,2025-08-28,2025-09-11
674,35470,2020-07-30,2021-07-31
675,35471,2020-07-29,2021-07-31
18899,42367,2025-08-29,2026-08-31
16034,43437,2024-09-11,2025-09-11
14550,43028,2024-05-31,2025-05-31
13549,42011,2023-10-20,2024-10-20
682,35516,2020-07-30,2021-08-03
683,1168,2020-07-31,2021-07-31
13697,45350,2024-11-06,2025-11-05
16109,47220,2024-09-15,2025-09-15
13740,37188,2023-11-08,2024-11-08
17779,48023,2025-03-17,2026-03-17
707,35674,2020-08-04,2021-06-30
17783,45687,2025-03-17,2026-03-17
17785,48655,2025-03-17,2026-08-31
17813,48579,2025-03-21,2026-03-21
715,35705,2020-08-04,2021-07-31
13832,45506,2023-11-20,2024-08-31
13870,23452,2023-11-28,2024-08-31
13917,36681,2024-09-01,2025-08-31
13921,45578,2023-12-04,2024-08-31
16244,44975,2024-09-30,2025-09-30
12472,41625,2023-09-01,2024-08-31
728,35760,2020-08-06,2021-07-31
16251,43057,2024-09-26,2025-09-26
16254,47346,2025-09-27,2026-09-27
14685,38857,2024-09-01,2025-08-31
16266,47356,2024-09-27,2025-09-27
16267,38407,2024-09-27,2025-09-27
14767,5348,2024-04-02,2025-04-02
14772,15017,2024-04-02,2025-08-31
15767,47010,2024-08-20,2025-08-20
18921,49556,2025-09-02,2025-09-16
18448,49258,2025-06-17,2026-08-31
14251,1168,2024-01-26,2025-08-25
734,35775,2020-08-05,2021-08-01
18580,36807,2025-09-01,2026-08-31
18670,49401,2025-07-27,2025-08-10
741,35817,2020-08-07,2029-08-07
15990,47040,2024-09-09,2025-09-09
12772,36949,2023-09-01,2024-08-31
16010,37255,2024-09-10,2025-09-10
18415,49227,2025-06-12,2025-07-18
18736,42223,2025-09-04,2026-09-04
15143,36755,2024-09-01,2025-08-12
18777,49458,2025-08-15,2025-08-29
754,35899,2020-08-10,2021-07-31
15502,46865,2024-07-15,2025-07-15
757,35902,2020-08-10,2021-07-31
18836,49496,2025-08-23,2025-09-06
18851,49506,2025-08-25,2025-09-08
18862,36732,2025-08-26,2026-08-31
18875,49521,2025-08-28,2025-09-11
768,35945,2020-08-11,2021-07-31
13550,37658,2024-03-06,2025-03-06
17742,44088,2025-03-11,2026-03-11
18890,49529,2025-08-28,2025-09-11
18900,36812,2025-08-29,2026-08-31
15440,43386,2024-09-01,2025-08-31
17781,46246,2025-03-22,2026-03-22
789,624,2020-08-11,2021-07-31
13741,45432,2023-11-08,2024-11-08
792,35984,2020-08-12,2021-06-30
797,3261,2020-08-11,2021-07-31
13804,42256,2023-11-15,2024-11-15
16236,47333,2024-09-24,2025-09-24
16255,47347,2024-09-26,2025-09-26
810,36022,2020-08-12,2021-07-31
12537,42904,2023-08-07,2024-08-07
814,36039,2020-08-12,2021-07-31
12773,41790,2023-09-01,2024-08-31
12927,1035,2023-09-18,2024-08-31
13715,45413,2023-11-06,2024-11-06
822,108,2020-08-13,2021-07-31
16290,46897,2024-09-30,2025-09-30
16291,47376,2024-09-30,2025-09-30
16298,45578,2024-09-30,2025-09-30
14768,46295,2024-04-02,2025-04-02
14774,46300,2024-04-02,2025-04-02
16325,43717,2024-11-22,2025-11-22
16330,47411,2024-10-02,2025-10-02
15503,167,2024-09-01,2025-08-31
824,1874,2020-08-13,2021-07-31
18449,49259,2025-06-17,2025-07-01
826,36059,2020-08-13,2021-07-31
18671,49402,2025-07-27,2025-08-10
18923,49558,2025-09-02,2025-09-16
18581,36850,2025-09-01,2026-08-31
18737,38561,2025-08-06,2026-08-08
16011,44774,2024-09-10,2025-08-11
16047,37323,2024-09-11,2025-08-12
15573,46904,2024-08-09,2025-08-09
18778,49459,2025-08-15,2026-08-31
17782,48653,2025-03-17,2026-03-17
18779,49460,2025-08-15,2026-08-31
840,36096,2020-08-14,2021-07-31
15634,46933,2024-08-19,2025-08-19
842,5101,2020-08-14,2021-07-31
17846,35744,2025-08-21,2026-08-27
17054,37724,2024-12-12,2025-08-31
14775,46301,2024-04-02,2025-08-21
18837,49497,2025-08-23,2025-09-06
13602,32619,2023-10-23,2024-10-23
18852,49507,2025-08-25,2025-09-08
18876,44553,2025-08-28,2026-08-31
13700,45259,2023-10-11,2024-08-31
16111,47229,2024-09-16,2025-09-16
16128,47243,2024-09-17,2025-08-31
16153,33211,2024-09-18,2025-08-31
13742,37555,2023-11-08,2024-08-31
18879,49522,2025-08-28,2025-09-11
18891,49530,2025-08-28,2025-09-11
16179,44153,2025-02-15,2025-08-31
18901,49536,2025-08-29,2025-09-12
16256,47348,2024-09-26,2025-09-26
16269,47355,2024-09-27,2025-09-27
16271,47358,2024-09-27,2025-08-31
18164,48999,2025-05-06,2026-05-06
12473,37993,2023-08-21,2024-08-31
18416,49228,2025-06-12,2026-06-12
16306,43590,2024-10-05,2025-10-05
12538,41321,2023-08-16,2024-08-25
16348,47426,2024-10-03,2025-10-03
14676,46218,2024-03-18,2025-03-18
16371,47445,2024-10-07,2025-10-07
16326,47407,2024-10-02,2025-08-31
12474,43222,2023-07-27,2024-08-31
15992,43458,2024-09-15,2025-09-15
917,36357,2020-08-20,2021-08-02
18672,49403,2025-07-28,2025-08-11
17061,44729,2024-12-16,2025-08-31
18450,49260,2025-06-17,2025-07-01
13195,44975,2023-09-29,2024-09-29
18582,879,2025-08-04,2026-08-31
16012,37451,2024-09-10,2025-07-21
15574,43132,2024-07-25,2025-07-25
929,36366,2020-08-20,2021-07-31
18925,49560,2025-09-02,2025-09-16
932,36369,2020-08-20,2021-07-31
15635,38561,2024-08-05,2025-08-05
14793,38253,2024-08-22,2025-08-31
16112,42632,2024-09-16,2025-09-16
13603,32619,2023-07-17,2023-10-22
18738,49435,2025-08-10,2025-08-24
18780,44633,2025-08-18,2026-08-18
16129,47071,2024-09-17,2025-09-17
18781,49461,2025-08-15,2025-08-29
16334,37788,2024-10-02,2025-08-20
18853,49508,2025-08-26,2025-09-09
950,380,2020-08-21,2021-07-31
18877,36949,2025-08-28,2026-08-31
18892,49531,2025-08-28,2025-09-11
12485,41122,2023-09-01,2024-08-31
13813,45385,2023-11-16,2024-11-16
965,36466,2020-08-22,2021-07-31
967,36470,2020-08-22,2021-07-31
968,36472,2020-08-23,2021-06-30
17466,37555,2025-02-04,2026-08-31
13898,38000,2023-11-29,2024-11-29
16270,41649,2024-09-27,2025-08-31
16300,41799,2024-09-30,2025-08-31
975,36481,2020-08-23,2021-07-31
17468,36022,2025-02-04,2026-06-30
16327,47408,2024-10-02,2025-08-31
13946,45601,2023-12-08,2024-08-31
17482,48390,2025-02-06,2026-02-06
13954,45609,2023-12-11,2024-08-31
13964,37340,2023-12-12,2024-08-31
17484,42489,2025-02-06,2026-02-06
17495,38000,2025-02-07,2026-02-07
17815,40387,2025-03-21,2026-03-21
12486,37177,2023-07-31,2024-08-31
18417,49229,2025-06-12,2025-06-26
995,36540,2020-08-24,2021-07-31
12929,43420,2023-09-09,2024-09-18
16358,47435,2024-10-04,2025-08-31
1001,36552,2020-08-24,2021-07-31
1004,36560,2020-08-24,2021-06-30
16372,43388,2024-10-07,2025-10-07
14794,39876,2024-04-03,2025-08-31
14798,46322,2024-04-04,2025-04-04
14802,46326,2024-04-04,2024-08-31
14812,37573,2024-04-05,2024-08-31
14814,41291,2024-04-05,2025-08-31
18926,49561,2025-09-02,2026-08-31
13539,37049,2023-10-16,2024-10-16
15505,624,2024-08-12,2025-08-31
18673,49404,2025-07-28,2025-08-11
15148,36357,2024-09-01,2025-08-31
18451,49261,2025-06-17,2025-07-01
15575,40104,2024-09-01,2025-08-17
14815,41399,2024-09-01,2025-08-04
16013,38793,2024-09-11,2025-08-31
17730,43913,2025-03-10,2026-03-10
18739,49436,2025-08-11,2025-08-25
15636,39705,2024-08-15,2025-08-15
18418,43054,2025-06-12,2026-06-12
18583,36734,2025-08-13,2026-09-01
1034,36599,2020-08-26,2021-07-27
1036,336,2020-08-26,2021-07-31
15770,41321,2024-08-26,2025-08-31
13907,45565,2023-11-30,2024-11-30
18782,49462,2025-08-15,2025-08-29
15442,35369,2024-08-28,2025-08-31
18878,47007,2025-08-28,2026-08-28
16113,42451,2024-09-16,2025-08-31
17461,48154,2025-02-04,2026-02-04
16181,36864,2024-09-19,2025-08-31
16221,41080,2024-09-23,2025-09-23
17745,41068,2025-03-11,2026-03-11
1061,36618,2020-08-26,2021-07-31
14111,44008,2024-01-21,2025-01-21
17848,38249,2025-09-01,2026-08-31
12540,41322,2023-08-07,2024-08-07
1075,36627,2020-08-26,2021-07-31
17858,48721,2025-03-28,2026-03-28
14664,46093,2024-03-14,2025-03-18
13652,43764,2023-11-03,2024-11-03
16344,47204,2024-10-03,2025-10-03
16352,36727,2024-10-03,2025-08-31
16359,47283,2024-10-04,2025-10-04
1114,1787,2020-08-27,2021-07-31
16373,37911,2024-10-07,2025-10-07
13956,43932,2023-12-17,2024-12-17
16377,37307,2024-10-07,2025-10-07
16431,44805,2024-10-10,2025-10-10
14803,46326,2024-09-01,2025-08-31
16421,46888,2024-10-10,2025-10-10
14813,37573,2024-09-01,2025-08-31
16433,43598,2024-10-11,2025-10-11
16448,41934,2024-10-14,2025-08-31
18674,41351,2025-07-26,2026-07-28
18452,49262,2025-06-17,2025-07-01
18584,49352,2025-07-10,2025-07-24
14110,37667,2024-01-05,2025-01-05
15637,38576,2024-09-01,2025-07-30
1138,36670,2020-08-28,2021-07-31
18740,46571,2025-08-11,2026-08-11
18927,49562,2025-09-02,2025-09-16
12487,37731,2023-09-01,2024-08-31
18783,49463,2025-08-15,2025-08-29
18929,47539,2025-09-02,2026-08-31
15506,43753,2024-09-01,2025-08-31
16014,37033,2024-09-10,2025-08-18
1156,36681,2020-10-14,2021-07-31
18880,49523,2025-08-28,2025-09-11
18931,41819,2025-09-01,2026-09-02
1164,36689,2020-08-29,2021-07-31
1168,879,2020-08-29,2021-07-31
15150,46488,2024-05-16,2025-05-16
17937,48796,2025-04-02,2026-04-02
1181,36704,2020-09-01,2021-07-31
1182,36705,2020-09-01,2021-07-31
12488,41441,2023-07-29,2024-07-31
17958,48815,2025-04-04,2026-08-31
15576,34916,2024-09-01,2025-08-31
16222,43369,2024-09-23,2025-09-23
1205,36721,2020-09-01,2021-07-31
13774,41799,2023-09-01,2024-08-31
13775,43804,2023-11-10,2024-11-13
1212,36727,2020-09-01,2021-07-31
1217,36732,2020-09-02,2021-07-31
1219,36734,2020-09-02,2021-07-31
16360,47175,2024-10-04,2025-10-04
16378,44132,2024-10-07,2025-08-31
16393,47463,2024-10-08,2025-10-08
16400,47242,2024-10-08,2025-10-08
16401,13446,2024-10-08,2025-10-08
1243,36753,2020-09-02,2021-09-02
1245,36755,2020-09-02,2021-07-31
14665,46093,2024-02-28,2024-03-13
16422,37748,2024-10-10,2025-10-10
16423,16914,2024-10-10,2025-10-10
16425,47470,2024-10-08,2025-10-10
14809,42658,2024-04-05,2025-04-05
16426,47127,2024-10-10,2025-10-10
16449,36704,2024-10-14,2025-08-31
14825,46342,2024-04-08,2025-04-08
18675,49405,2025-07-28,2026-08-31
18453,49263,2025-06-17,2026-08-31
12789,43388,2023-09-05,2024-09-05
17462,37049,2025-02-04,2026-02-04
17478,37181,2025-02-06,2026-08-31
12899,40174,2023-09-13,2024-08-31
18585,49353,2025-07-10,2025-07-24
18928,41625,2025-09-02,2026-08-31
18930,46449,2025-09-02,2026-08-31
15507,37361,2024-09-01,2025-08-17
18741,49346,2025-07-23,2026-08-11
13776,42682,2024-02-10,2025-02-10
17509,32166,2025-09-01,2026-08-31
17510,44063,2025-02-10,2026-02-10
18784,34664,2025-08-07,2026-08-15
12997,37744,2023-09-25,2024-08-21
1279,36782,2020-09-03,2021-06-30
15638,37772,2024-09-01,2025-08-31
15443,38732,2024-08-22,2025-08-31
1283,36785,2020-09-04,2021-07-31
18881,46723,2025-07-10,2026-08-31
16115,47231,2024-09-16,2025-08-31
17514,48418,2025-02-10,2026-02-10
17860,34901,2025-03-28,2026-03-28
15153,46599,2024-05-17,2025-05-17
13974,37181,2023-12-13,2024-08-31
17526,48429,2025-02-11,2026-08-31
14101,42499,2024-01-24,2025-01-24
14106,43958,2024-01-05,2025-01-05
17529,39602,2025-02-12,2026-02-12
1305,4572,2020-09-07,2021-07-31
1310,197,2020-09-08,2021-07-31
1315,36799,2020-09-08,2021-08-02
1316,36800,2020-09-08,2021-07-31
1323,36807,2020-09-08,2021-07-31
1324,36808,2020-09-08,2021-07-31
